addressLine1,city,state,zipCode,formattedAddress,squareFootage,yearBuilt,bathrooms,lotSize,propertyType,longitude,latitude
46 Patton Dr,Newport News,VA,23606,"46 Patton Dr, Newport News, VA 23606",1514.0,1960.0,3.0,24394.0,Single Family,-76.50531,37.085732
13500 County Rd,Terrell,TX,75160,"13500 County Rd, 236, Terrell, TX 75160",3468.0,2003.0,0.0,44693.0,Single Family,-96.332695,32.754337
7336 Leghorn St,Savannah,GA,31406,"7336 Leghorn St, Savannah, GA 31406",1428.0,1992.0,2.0,5001.0,Single Family,-81.074996,31.991389
2426 S Diamond Bar Blvd,Diamond Bar,CA,91765,"2426 S Diamond Bar Blvd, Diamond Bar, CA 91765",1320.0,0.0,3.0,0.0,Single Family,-117.830594,33.980862
902 N William Tell Cir,Payson,AZ,85541,"902 N William Tell Cir, Payson, AZ 85541",909.0,1976.0,2.0,6534.0,Single Family,-111.315809,34.253653
10130 Rose Brook Ln,Huntersville,NC,28078,"10130 Rose Brook Ln, Apt 107, Huntersville, NC 28078",0.0,0.0,0.0,0.0,Unknown,-80.859709,35.413139
21 Eureka St,Sutter Creek,CA,95685,"21 Eureka St, Ste A, Sutter Creek, CA 95685",0.0,0.0,0.0,0.0,Unknown,-120.801977,38.393175
2820 King St,Augusta,GA,30906,"2820 King St, Augusta, GA 30906",792.0,1948.0,0.0,11326.0,Single Family,-82.03073,33.420042
12718 Westwood Lakes Blvd,Tampa,FL,33626,"12718 Westwood Lakes Blvd, Tampa, FL 33626",1802.0,2000.0,2.0,5500.0,Single Family,-82.645379,28.077065
1427 E Nebraska Ave,Spokane,WA,99208,"1427 E Nebraska Ave, Spokane, WA 99208",1305.0,1910.0,1.0,6250.0,Single Family,-117.388805,47.709031
12407 Wycliff Ln,Austin,TX,78727,"12407 Wycliff Ln, Austin, TX 78727",1779.0,1982.0,3.0,9627.0,Single Family,-97.725346,30.424125
1223 Hillcliff St,Louisville,OH,44641,"1223 Hillcliff St, Louisville, OH 44641",1248.0,1969.0,1.5,13499.0,Single Family,-81.240629,40.828534
15606 Elmcroft Ave,Norwalk,CA,90650,"15606 Elmcroft Ave, Norwalk, CA 90650",1186.0,1955.0,2.0,5161.0,Single Family,-118.095332,33.888698
2690 Coral Landings Blvd,Palm Harbor,FL,34684,"2690 Coral Landings Blvd, Apt 133, Palm Harbor, FL 34684",920.0,1987.0,2.0,871200.0,Condo,-82.735689,28.071013
2810 Thomas St,Columbus,GA,31906,"2810 Thomas St, Columbus, GA 31906",1161.0,2009.0,2.0,6970.0,Single Family,-84.950509,32.463233
155 S Court Ave,Orlando,FL,32801,"155 S Court Ave, Unit 2007, Orlando, FL 32801",730.0,2007.0,1.0,3668.0,Condo,-81.378479,28.540287
337 W Garwood Cir,Tallmadge,OH,44278,"337 W Garwood Cir, Tallmadge, OH 44278",3192.0,1995.0,3.5,18252.0,Single Family,-81.448693,41.11086
1700 Beau Dr,Raymore,MO,64083,"1700 Beau Dr, Raymore, MO 64083",1326.0,1998.0,1.0,8712.0,Single Family,-94.486106,38.802387
906 Neff Rd,Grosse Pointe,MI,48230,"906 Neff Rd, Grosse Pointe, MI 48230",2268.0,1987.0,2.0,7841.0,Single Family,-82.918217,42.398278
1134 Kenwyn St,Philadelphia,PA,19124,"1134 Kenwyn St, Philadelphia, PA 19124",1768.0,1945.0,1.0,2768.0,Single Family,-75.085408,40.025405
8044 E Naples Ln,Anaheim,CA,92808,"8044 E Naples Ln, Anaheim, CA 92808",1322.0,1994.0,2.5,0.0,Condo,-117.737014,33.849098
2478 Talco Hills Dr,Tallahassee,FL,32303,"2478 Talco Hills Dr, Apt D, Tallahassee, FL 32303",1088.0,1984.0,3.0,3049.0,Single Family,-84.325432,30.476737
10403 Silverbrook Dr,Henrico,VA,23233,"10403 Silverbrook Dr, Henrico, VA 23233",1976.0,1978.0,2.5,8664.0,Single Family,-77.603428,37.626791
5111 Arborwood Dr,League City,TX,77573,"5111 Arborwood Dr, League City, TX 77573",2418.0,1996.0,3.0,6926.0,Single Family,-95.145106,29.485488
1183 Hopkins Ter NE,Atlanta,GA,30324,"1183 Hopkins Ter NE, Atlanta, GA 30324",2040.0,1963.0,3.5,14810.0,Single Family,-84.341119,33.821087
23342 Los Encinos Way,Woodland Hills,CA,91367,"23342 Los Encinos Way, Woodland Hills, CA 91367",2426.0,1964.0,3.0,11081.0,Single Family,-118.63579,34.165463
550 E 12th St,Pittsburg,CA,94565,"550 E 12th St, Pittsburg, CA 94565",928.0,1925.0,1.0,4500.0,Single Family,-121.878549,38.023802
215 Eagle Claw Dr,Carolina Shores,NC,28467,"215 Eagle Claw Dr, Unit 3022, Carolina Shores, NC 28467",1702.0,2024.0,2.0,6098.0,Single Family,-78.580899,33.92901
31620 Sun Valley Rd,Leesburg,FL,34748,"31620 Sun Valley Rd, Leesburg, FL 34748",870.0,1958.0,1.0,522720.0,Single Family,-81.826647,28.810044
2552 Sw Marshfield Ct,Port Saint Lucie,FL,34953,"2552 Sw Marshfield Ct, Port Saint Lucie, FL 34953",1490.0,2006.0,2.5,1786.0,Single Family,-80.414776,27.256065
411 W Fullerton Pkwy,Chicago,IL,60614,"411 W Fullerton Pkwy, Apt 908W, Chicago, IL 60614",0.0,0.0,0.0,0.0,Unknown,-87.639644,41.925266
5419 W Adams Blvd,Los Angeles,CA,90016,"5419 W Adams Blvd, Los Angeles, CA 90016",0.0,0.0,0.0,0.0,Unknown,-118.360874,34.032737
3364 Solarino Ln,Henderson,NV,89044,"3364 Solarino Ln, Henderson, NV 89044",2387.0,2019.0,3.0,3968.0,Single Family,-115.132033,35.930984
1841 Overbrook Dr,Jackson,MS,39213,"1841 Overbrook Dr, Jackson, MS 39213",1304.0,1967.0,1.0,8274.0,Single Family,-90.207153,32.352501
396 Circuit Ln,Newport News,VA,23608,"396 Circuit Ln, Unit A, Newport News, VA 23608",1422.0,1974.0,2.5,1307.0,Single Family,-76.536827,37.138633
5501 Nw 2nd Ave,Boca Raton,FL,33487,"5501 Nw 2nd Ave, Apt 301, Boca Raton, FL 33487",1000.0,1969.0,2.0,0.0,Condo,-80.084193,26.39863
117 E 5th St,Clifton,NJ,7011,"117 E 5th St, Clifton, NJ 07011",1274.0,1926.0,0.0,3700.0,Single Family,-74.144127,40.887559
1435 India St,San Diego,CA,92101,"1435 India St, Unit 319, San Diego, CA 92101",648.0,2005.0,1.0,19950.0,Condo,-117.167996,32.720174
901 N Central Ave,Locust,NC,28097,"901 N Central Ave, Locust, NC 28097",0.0,0.0,0.0,0.0,Unknown,-80.427425,35.28622
1519 Arlington Heights Way,Imperial,MO,63052,"1519 Arlington Heights Way, Imperial, MO 63052",1596.0,2018.0,0.0,9148.0,Single Family,-90.435713,38.414717
1343 Valley Rd,Wayne,NJ,7470,"1343 Valley Rd, Apt C, Wayne, NJ 07470",0.0,0.0,0.0,0.0,Unknown,-74.226307,40.956367
14 Oak Ridge Rd,Middletown,NY,10940,"14 Oak Ridge Rd, Middletown, NY 10940",2050.0,1986.0,3.0,22000.0,Single Family,-74.427233,41.463359
39801 Nantucket Rd,Temecula,CA,92591,"39801 Nantucket Rd, Temecula, CA 92591",3333.0,2003.0,4.0,9147.0,Single Family,-117.155355,33.542714
4020 Bessemer Ave SW,Birmingham,AL,35221,"4020 Bessemer Ave SW, Birmingham, AL 35221",862.0,1956.0,1.0,7200.0,Single Family,-86.90031,33.453112
14 Belmont Ave,Winchendon,MA,1475,"14 Belmont Ave, Unit 2, Winchendon, MA 01475",950.0,1927.0,1.0,7143.0,Apartment,-72.041214,42.690144
1914 Bellamy Dr,Champaign,IL,61821,"1914 Bellamy Dr, Champaign, IL 61821",1176.0,1957.0,2.0,0.0,Single Family,-88.261913,40.091298
9005 Burton Way,Los Angeles,CA,90048,"9005 Burton Way, Los Angeles, CA 90048",0.0,0.0,1.0,0.0,Apartment,-118.388237,34.07261
120 Alcott Pl,Bronx,NY,10475,"120 Alcott Pl, Apt 3E, Bronx, NY 10475",0.0,0.0,0.0,0.0,Unknown,-73.830601,40.872
4929 W Decora Way,West Jordan,UT,84081,"4929 W Decora Way, West Jordan, UT 84081",1429.0,1991.0,2.0,6534.0,Single Family,-112.008554,40.627326
13100 Pembroke Ln,Leawood,KS,66209,"13100 Pembroke Ln, Leawood, KS 66209",3665.0,1988.0,4.5,16458.0,Single Family,-94.613747,38.889629
1000 Aspen Ln,Mansfield,TX,76063,"1000 Aspen Ln, Mansfield, TX 76063",1848.0,1976.0,2.0,9801.0,Single Family,-97.130505,32.59187
535 W Briar Pl,Chicago,IL,60657,"535 W Briar Pl, Unit 953, Chicago, IL 60657",720.0,0.0,1.0,0.0,Apartment,-87.643374,41.938459
52 Chandler Gray Rd,Yarmouth,MA,2673,"52 Chandler Gray Rd, Yarmouth, MA 02673",1698.0,1985.0,2.0,22651.0,Single Family,-70.250512,41.67083
7415 Margarita Pl,Colorado Springs,CO,80919,"7415 Margarita Pl, Colorado Springs, CO 80919",2334.0,1997.0,3.0,28411.0,Single Family,-104.82911,38.941046
1305 Kelsey Ct,Bel Air,MD,21015,"1305 Kelsey Ct, Bel Air, MD 21015",1980.0,2004.0,2.5,2628.0,Single Family,-76.314295,39.535992
12536 Ryerson Ave,Downey,CA,90242,"12536 Ryerson Ave, Apt 29, Downey, CA 90242",0.0,0.0,0.0,0.0,Unknown,-118.162254,33.930169
7045 Stonycreek Dr,Oklahoma City,OK,73132,"7045 Stonycreek Dr, Oklahoma City, OK 73132",2172.0,1977.0,2.5,7928.0,Single Family,-97.632331,35.543736
9202 Zyle Rd,Austin,TX,78737,"9202 Zyle Rd, Austin, TX 78737",0.0,0.0,0.0,0.0,Land,-97.933917,30.20583
751 Pinellas Bayway S,Tierra Verde,FL,33715,"751 Pinellas Bayway S, Unit 7, Tierra Verde, FL 33715",1600.0,1989.0,2.5,871.0,Townhouse,-82.724476,27.68022
39768 Seal,Newark,CA,94560,"39768 Seal, Newark, CA 94560",3199.0,2019.0,3.5,3901.0,Single Family,-121.995832,37.513995
23106 E Maxwell Ave,Liberty Lake,WA,99019,"23106 E Maxwell Ave, Liberty Lake, WA 99019",1204.0,1996.0,2.0,5750.0,Single Family,-117.094591,47.668666
2129 Hovsons Blvd,Toms River,NJ,8753,"2129 Hovsons Blvd, Toms River, NJ 08753",1072.0,1968.0,1.0,6970.0,Single Family,-74.157855,40.019241
380 Bailey Ct,Akron,OH,44304,"380 Bailey Ct, Akron, OH 44304",1040.0,1907.0,1.0,2680.0,Single Family,-81.514443,41.095536
68 Columbia Blvd,Buffalo,NY,14217,"68 Columbia Blvd, Buffalo, NY 14217",1796.0,1930.0,1.5,5450.0,Single Family,-78.86853,42.971912
224 Seford Dr,San Antonio,TX,78209,"224 Seford Dr, San Antonio, TX 78209",1295.0,1950.0,1.0,11195.0,Single Family,-98.435931,29.477561
730 W North St,Lima,OH,45801,"730 W North St, Lima, OH 45801",0.0,0.0,0.0,0.0,Unknown,-84.114555,40.743054
110 Skyridge Rd,Bristol,CT,6010,"110 Skyridge Rd, Bristol, CT 06010",1040.0,1972.0,1.5,0.0,Condo,-72.948693,41.658944
6214 Willet Ct,Lakewood Ranch,FL,34202,"6214 Willet Ct, Lakewood Ranch, FL 34202",2386.0,2002.0,2.5,7723.0,Single Family,-82.406332,27.429897
5111 Cale Ct,Rapid City,SD,57701,"5111 Cale Ct, Rapid City, SD 57701",1542.0,1999.0,3.0,33541.0,Single Family,-103.227989,44.03356
5730 Southern Pkwy,Louisville,KY,40214,"5730 Southern Pkwy, Louisville, KY 40214",1189.0,1940.0,1.0,10019.0,Single Family,-85.780888,38.170738
12 Marie Ln,Lawrence,MA,1843,"12 Marie Ln, Lawrence, MA 01843",1240.0,1970.0,2.0,0.0,Condo,-71.168191,42.680365
2706 State Hwy,Ingleside,TX,78362,"2706 State Hwy, 361 Apt 2003, Ingleside, TX 78362",0.0,0.0,0.0,0.0,Unknown,-97.212754,27.883263
218 N Main St,Chagrin Falls,OH,44022,"218 N Main St, Chagrin Falls, OH 44022",1669.0,1987.0,2.5,15000.0,Single Family,-81.393957,41.435399
2232 E Gaisor Dr,Crete,IL,60417,"2232 E Gaisor Dr, Crete, IL 60417",2999.0,1987.0,5.0,20909.0,Single Family,-87.55927199999999,41.446784
2513 Jackalope St,Murfreesboro,TN,37130,"2513 Jackalope St, Murfreesboro, TN 37130",1188.0,2016.0,2.5,0.0,Single Family,-86.345406,35.868035
550 Mccrory Creek Rd,Nashville,TN,37214,"550 Mccrory Creek Rd, Apt C4, Nashville, TN 37214",0.0,0.0,0.0,0.0,Unknown,-86.640886,36.155025
146 Anthony St,Santa Cruz,CA,95060,"146 Anthony St, Santa Cruz, CA 95060",1898.0,1948.0,2.0,7884.0,Single Family,-122.044235,36.969007
PO Box 51,Saint Michael,MN,55376,"PO Box 51, Saint Michael, MN 55376",0.0,0.0,0.0,0.0,Unknown,-93.694378,45.209265
940 Orchard Ave,Muskegon,MI,49442,"940 Orchard Ave, Muskegon, MI 49442",1362.0,1956.0,1.5,6970.0,Single Family,-86.220756,43.237075
4481 N Dryden St,Prescott Valley,AZ,86314,"4481 N Dryden St, Prescott Valley, AZ 86314",1599.0,2016.0,2.0,7841.0,Single Family,-112.358846,34.607116
1009 N Trekell Rd,Casa Grande,AZ,85122,"1009 N Trekell Rd, Casa Grande, AZ 85122",1053.0,1954.0,1.0,8120.0,Single Family,-111.740315,32.883833
4863 Wilkie Way NW,Acworth,GA,30102,"4863 Wilkie Way NW, Acworth, GA 30102",2244.0,1994.0,3.0,14100.0,Single Family,-84.604714,34.073028
26 Lahey St,New Hyde Park,NY,11040,"26 Lahey St, New Hyde Park, NY 11040",2002.0,1950.0,2.0,6000.0,Single Family,-73.695715,40.750069
1025 S Charles St,Sherman,TX,75090,"1025 S Charles St, Sherman, TX 75090",0.0,0.0,0.0,0.0,Unknown,-96.592838,33.629744
536 W 85th Dr,Merrillville,IN,46410,"536 W 85th Dr, Merrillville, IN 46410",1622.0,2017.0,2.0,6752.0,Single Family,-87.34336,41.463007
2973 N Ridgeway Ave,Chicago,IL,60618,"2973 N Ridgeway Ave, Chicago, IL 60618",2394.0,1991.0,2.0,3125.0,Apartment,-87.719111,41.935294999999996
116 E 7th St,Auburn,IN,46706,"116 E 7th St, Auburn, IN 46706",0.0,0.0,0.0,0.0,Unknown,-85.055341,41.367251
2730 Somerset Dr,Lauderdale Lakes,FL,33311,"2730 Somerset Dr, Apt 114, Lauderdale Lakes, FL 33311",0.0,0.0,0.0,0.0,Unknown,-80.189892,26.16036
10992 Millersburg Rd SW,Massillon,OH,44647,"10992 Millersburg Rd SW, Massillon, OH 44647",2445.0,1875.0,1.5,217800.0,Single Family,-81.560633,40.782999
626 Tolland Tpke,Manchester,CT,6042,"626 Tolland Tpke, Manchester, CT 06042",0.0,0.0,0.0,256133.0,Land,-72.532098,41.803278
6203 Apple Bluff Ct,Sugar Land,TX,77479,"6203 Apple Bluff Ct, Sugar Land, TX 77479",3148.0,2012.0,5.0,10607.0,Single Family,-95.568863,29.53417
99 N Main St,Bainbridge,NY,13733,"99 N Main St, Bainbridge, NY 13733",1818.0,1951.0,2.0,41382.0,Single Family,-75.472008,42.2991
33958 Golden Lantern St,Dana Point,CA,92629,"33958 Golden Lantern St, Dana Point, CA 92629",0.0,0.0,0.0,0.0,Single Family,-117.697412,33.469627
2131 Fountain Hill Dr,Lutherville Timonium,MD,21093,"2131 Fountain Hill Dr, Lutherville Timonium, MD 21093",1274.0,1962.0,2.5,11074.0,Single Family,-76.611183,39.445043
4523 Fenway Park Way,Spring,TX,77389,"4523 Fenway Park Way, Spring, TX 77389",2346.0,2014.0,2.5,7327.0,Single Family,-95.485373,30.091632
28413 Connick Pl,Santa Clarita,CA,91350,"28413 Connick Pl, Santa Clarita, CA 91350",1658.0,2004.0,2.0,5025.0,Single Family,-118.479348,34.444614
504 Fresh Meadows Rd,Simi Valley,CA,93065,"504 Fresh Meadows Rd, Simi Valley, CA 93065",1750.0,1985.0,2.5,7975.0,Single Family,-118.820944,34.248429
25443 E 92nd Ter S,Broken Arrow,OK,74014,"25443 E 92nd Ter S, Broken Arrow, OK 74014",1284.0,2012.0,2.0,0.0,Single Family,-95.693132,36.028498
1917 W Front St,Berwick,PA,18603,"1917 W Front St, Berwick, PA 18603",720.0,1968.0,0.0,8015.0,Manufactured,-76.269883,41.047749
2214 Tamrack St,Kalamazoo,MI,49006,"2214 Tamrack St, Kalamazoo, MI 49006",1176.0,1960.0,1.5,10454.0,Single Family,-85.636497,42.313143
2795 Evans Mill Rd,Lithonia,GA,30058,"2795 Evans Mill Rd, Apt 2904, Lithonia, GA 30058",0.0,0.0,0.0,0.0,Unknown,-84.117254,33.704861
1321 Oakpoint Ave,Bronx,NY,10474,"1321 Oakpoint Ave, Frnt 5, Bronx, NY 10474",0.0,0.0,0.0,0.0,Unknown,-73.884455,40.810622
2472 Douglas Rd,Ferndale,WA,98248,"2472 Douglas Rd, Ferndale, WA 98248",1688.0,2010.0,2.0,11326.0,Single Family,-122.616377,48.842394
1052 Key Largo Dr,Romeoville,IL,60446,"1052 Key Largo Dr, Romeoville, IL 60446",1940.0,2000.0,3.0,7989.0,Condo,-88.112365,41.632436
1340 Canyon Side Ave,San Ramon,CA,94582,"1340 Canyon Side Ave, San Ramon, CA 94582",1735.0,1986.0,2.0,4068.0,Single Family,-121.940835,37.765259
3 Fair Lea Rd,Southampton,NY,11968,"3 Fair Lea Rd, Southampton, NY 11968",5157.0,1883.0,7.0,56628.0,Single Family,-72.3874,40.87241
6436 Silver Star Ln,Charlotte,NC,28210,"6436 Silver Star Ln, Unit 486, Charlotte, NC 28210",1859.0,2011.0,2.5,2919.0,Townhouse,-80.86308,35.143123
9263 Japan Rose Ave,Las Vegas,NV,89178,"9263 Japan Rose Ave, Las Vegas, NV 89178",1573.0,2007.0,2.5,2178.0,Single Family,-115.294985,36.008916
216 11th St,Pasadena,MD,21122,"216 11th St, Pasadena, MD 21122",1280.0,1992.0,1.0,9375.0,Single Family,-76.517409,39.104103
1208 Gully Rd,Wall Township,NJ,7753,"1208 Gully Rd, Wall Township, NJ 07753",1958.0,1920.0,2.5,9075.0,Single Family,-74.076715,40.197225
533 Acton Rd,Columbus,OH,43214,"533 Acton Rd, Columbus, OH 43214",1490.0,1950.0,2.0,8276.0,Single Family,-83.003407,40.040126
1049 Balsa Cir,La Verne,CA,91750,"1049 Balsa Cir, La Verne, CA 91750",2021.0,1977.0,3.0,7896.0,Single Family,-117.786176,34.114664
128 Road,Tupelo,MS,38804,"128 Road, 1562, Tupelo, MS 38804",2997.0,2002.0,1.5,422532.0,Single Family,-88.62508,34.304749
1629 Highway,Sunset,LA,70584,"1629 Highway, 356, Sunset, LA 70584",0.0,0.0,0.0,0.0,Single Family,-92.135871,30.374009
38418 N 12th St,Phoenix,AZ,85086,"38418 N 12th St, Phoenix, AZ 85086",2493.0,2000.0,3.0,47524.0,Single Family,-112.058561,33.833963
344 Miami St,Indianapolis,IN,46204,"344 Miami St, Indianapolis, IN 46204",2280.0,2002.0,2.5,2134.0,Townhouse,-86.151493,39.770592
5837 Cottle Rd,San Jose,CA,95123,"5837 Cottle Rd, San Jose, CA 95123",0.0,0.0,0.0,0.0,Unknown,-121.805003,37.245343
1500 Mainsail Dr,Naples,FL,34114,"1500 Mainsail Dr, Unit 1, Naples, FL 34114",966.0,1983.0,0.0,0.0,Condo,-81.693476,26.000945
737 1/2 W 45th St,Los Angeles,CA,90037,"737 1/2 W 45th St, Los Angeles, CA 90037",0.0,0.0,0.0,0.0,Unknown,-118.28682,34.002839
303 W Division St,Chicago,IL,60610,"303 W Division St, Apt 801, Chicago, IL 60610",0.0,0.0,0.0,0.0,Unknown,-87.634928,41.902126
1204 E 8th St,Anderson,IN,46012,"1204 E 8th St, Anderson, IN 46012",1000.0,0.0,1.0,0.0,Condo,-85.664597,40.108139
3836 Forest Creek Way,Martinez,GA,30907,"3836 Forest Creek Way, Martinez, GA 30907",1584.0,1985.0,2.0,10454.0,Single Family,-82.087122,33.538528
1307 N 43rd St,Seattle,WA,98103,"1307 N 43rd St, Apt 308, Seattle, WA 98103",507.0,0.0,1.0,0.0,Apartment,-122.341854,47.658812
8 Scarlet Oak Ct,Durham,NC,27712,"8 Scarlet Oak Ct, Durham, NC 27712",2228.0,2000.0,2.5,10629.0,Single Family,-78.853853,36.129004
1 Leamington Pl,Hilton Head Island,SC,29928,"1 Leamington Pl, Hilton Head Island, SC 29928",2828.0,1999.0,3.5,23087.0,Single Family,-80.731182,32.158513
2115 St Michaels Dr,Arlington,TX,76011,"2115 St Michaels Dr, Unit 101, Arlington, TX 76011",875.0,1983.0,1.0,2142.0,Condo,-97.091454,32.768663
4 Gooseberry Ct,Trabuco Canyon,CA,92679,"4 Gooseberry Ct, Trabuco Canyon, CA 92679",2856.0,1997.0,3.0,4680.0,Single Family,-117.583374,33.584845
208 Priddy Ln,Fort Worth,TX,76114,"208 Priddy Ln, Fort Worth, TX 76114",1897.0,1953.0,2.0,8821.0,Single Family,-97.394812,32.762402
2988 Temple,Laredo,TX,78043,"2988 Temple, Laredo, TX 78043",1484.0,2004.0,0.0,6914.0,Single Family,-99.44019,27.518134
801 S Diane Ct,Chandler,AZ,85226,"801 S Diane Ct, Chandler, AZ 85226",1645.0,1993.0,2.0,6991.0,Single Family,-111.92341,33.292767
605 Cambridge Ct,Roanoke Rapids,NC,27870,"605 Cambridge Ct, Roanoke Rapids, NC 27870",1122.0,1973.0,1.5,1133.0,Condo,-77.634509,36.441999
7302 127th Pl SE,Newcastle,WA,98056,"7302 127th Pl SE, Newcastle, WA 98056",2150.0,1976.0,3.0,9915.0,Single Family,-122.169932,47.537794
8421 Sw 142nd St,Palmetto Bay,FL,33158,"8421 Sw 142nd St, Palmetto Bay, FL 33158",2125.0,1961.0,2.0,17017.0,Single Family,-80.330606,25.638637
2112 Birch St,Port Arthur,TX,77640,"2112 Birch St, Port Arthur, TX 77640",1428.0,2010.0,0.0,10019.0,Single Family,-94.00701,29.893905
235 W Rio Rdg,Azle,TX,76020,"235 W Rio Rdg, Azle, TX 76020",3202.0,1998.0,3.0,108900.0,Single Family,-97.569789,32.849097
32999 Embassy Ave,Temecula,CA,92592,"32999 Embassy Ave, Temecula, CA 92592",2713.0,2003.0,2.0,6098.0,Single Family,-117.083645,33.468068
107 Surfrider St,San Antonio,TX,78242,"107 Surfrider St, San Antonio, TX 78242",1161.0,1964.0,1.0,7884.0,Single Family,-98.61433099999999,29.374336
1085 Frank St,Beaverton,MI,48612,"1085 Frank St, Beaverton, MI 48612",560.0,1968.0,1.0,10890.0,Manufactured,-84.324357,43.885154
19198 Avon Ave,Detroit,MI,48219,"19198 Avon Ave, Detroit, MI 48219",752.0,1944.0,1.0,4792.0,Single Family,-83.226182,42.431432
